State,Year,Type,Gender,Age_group,Total,Total Population,totalPerCapita
Andhra Pradesh,2002,By Self Infliction of injury,Male,15-29,6,77047.1,7.787444303549386e-05
Andhra Pradesh,2002,By Fire-Arms,Male,15-29,8,77047.1,0.00010383259071399182
Andhra Pradesh,2002,By Hanging,Male,15-29,493,77047.1,0.006398683402749746
Andhra Pradesh,2002,By Jumping off Moving Vehicles/Trains,Male,15-29,18,77047.1,0.0002336233291064816
Andhra Pradesh,2002,By Over Alcoholism,Male,15-29,25,77047.1,0.00032447684598122445
Andhra Pradesh,2002,By touching electric wires,Male,15-29,5,77047.1,6.489536919624489e-05
Andhra Pradesh,2002,By Consuming Insecticides,Male,15-29,759,77047.1,0.009851117043989974
Andhra Pradesh,2002,By Overdose of sleeping pills,Male,15-29,11,77047.1,0.00014276981223173876
Andhra Pradesh,2002,By Jumping from (Other sites),Male,15-29,8,77047.1,0.00010383259071399182
Andhra Pradesh,2002,By coming under running vehicles/trains,Male,15-29,170,77047.1,0.002206442552672326
Andhra Pradesh,2002,By Consuming Other Poison,Male,15-29,334,77047.1,0.004335010662309158
Andhra Pradesh,2002,By Drowning,Male,15-29,123,77047.1,0.0015964260822276242
Andhra Pradesh,2002,By Other means,Male,15-29,89,77047.1,0.001155137571693159
Andhra Pradesh,2002,By Fire/Self Immolation,Male,15-29,123,77047.1,0.0015964260822276242
Andhra Pradesh,2002,By Jumping from (Other sites),Male,30-44,1,77047.1,1.2979073839248977e-05
Andhra Pradesh,2002,By Over Alcoholism,Male,30-44,40,77047.1,0.0005191629535699591
Andhra Pradesh,2002,By touching electric wires,Male,30-44,17,77047.1,0.00022064425526723263
Andhra Pradesh,2002,By Consuming Other Poison,Male,30-44,420,77047.1,0.005451211012484571
Andhra Pradesh,2002,By coming under running vehicles/trains,Male,30-44,188,77047.1,0.002440065881778808
Andhra Pradesh,2002,By Drowning,Male,30-44,161,77047.1,0.0020896308881190855
Andhra Pradesh,2002,By Consuming Insecticides,Male,30-44,900,77047.1,0.01168116645532408
Andhra Pradesh,2002,By Jumping from (Building),Male,30-44,39,77047.1,0.0005061838797307102
Andhra Pradesh,2002,By Hanging,Male,30-44,671,77047.1,0.008708958546136064
Andhra Pradesh,2002,By Overdose of sleeping pills,Male,30-44,17,77047.1,0.00022064425526723263
Andhra Pradesh,2002,By Self Infliction of injury,Male,30-44,7,77047.1,9.085351687474284e-05
Andhra Pradesh,2002,By Fire-Arms,Male,30-44,18,77047.1,0.0002336233291064816
Andhra Pradesh,2002,By Fire/Self Immolation,Male,30-44,145,77047.1,0.0018819657066911019
Andhra Pradesh,2002,By Jumping off Moving Vehicles/Trains,Male,30-44,30,77047.1,0.00038937221517746935
Andhra Pradesh,2002,By Other means,Male,30-44,177,77047.1,0.002297296069547069
Andhra Pradesh,2002,By Consuming Other Poison,Male,45-59,402,77047.1,0.0052175876833780895
Andhra Pradesh,2002,By Hanging,Male,45-59,341,77047.1,0.004425864179183901
Andhra Pradesh,2002,By Other means,Male,45-59,68,77047.1,0.0008825770210689305
Andhra Pradesh,2002,By touching electric wires,Male,45-59,6,77047.1,7.787444303549386e-05
Andhra Pradesh,2002,By Consuming Insecticides,Male,45-59,694,77047.1,0.00900747724443879
Andhra Pradesh,2002,By Machine,Male,45-59,1,77047.1,1.2979073839248977e-05
Andhra Pradesh,2002,By Fire/Self Immolation,Male,45-59,118,77047.1,0.0015315307130313793
Andhra Pradesh,2002,By Jumping from (Other sites),Male,45-59,2,77047.1,2.5958147678497955e-05
Andhra Pradesh,2002,By coming under running vehicles/trains,Male,45-59,108,77047.1,0.0014017399746388897
Andhra Pradesh,2002,By Jumping off Moving Vehicles/Trains,Male,45-59,23,77047.1,0.00029851869830272646
Andhra Pradesh,2002,By Fire-Arms,Male,45-59,5,77047.1,6.489536919624489e-05
Andhra Pradesh,2002,By Jumping from (Building),Male,45-59,7,77047.1,9.085351687474284e-05
Andhra Pradesh,2002,By Self Infliction of injury,Male,45-59,1,77047.1,1.2979073839248977e-05
Andhra Pradesh,2002,By Drowning,Male,45-59,114,77047.1,0.0014796144176743836
Andhra Pradesh,2002,By Over Alcoholism,Male,45-59,45,77047.1,0.000584058322766204
Andhra Pradesh,2002,By Consuming Other Poison,Male,60+,121,77047.1,0.0015704679345491263
Andhra Pradesh,2002,By Fire-Arms,Male,60+,2,77047.1,2.5958147678497955e-05
Andhra Pradesh,2002,By Consuming Insecticides,Male,60+,138,77047.1,0.001791112189816359
Andhra Pradesh,2002,By Jumping from (Building),Male,60+,2,77047.1,2.5958147678497955e-05
Andhra Pradesh,2002,By Other means,Male,60+,23,77047.1,0.00029851869830272646
Andhra Pradesh,2002,By Jumping off Moving Vehicles/Trains,Male,60+,16,77047.1,0.00020766518142798364
Andhra Pradesh,2002,By coming under running vehicles/trains,Male,60+,61,77047.1,0.0007917235041941876
Andhra Pradesh,2002,By Fire/Self Immolation,Male,60+,20,77047.1,0.00025958147678497955
Andhra Pradesh,2002,By Over Alcoholism,Male,60+,8,77047.1,0.00010383259071399182
Andhra Pradesh,2002,By Hanging,Male,60+,93,77047.1,0.001207053867050155
Andhra Pradesh,2002,By Drowning,Male,60+,40,77047.1,0.0005191629535699591
Andhra Pradesh,2002,By Overdose of sleeping pills,Male,60+,5,77047.1,6.489536919624489e-05
Andhra Pradesh,2002,By Self Infliction of injury,Male,60+,2,77047.1,2.5958147678497955e-05
Andhra Pradesh,2003,By Hanging,Male,0-14,17,77884.20000000001,0.00021827276905970656
Andhra Pradesh,2003,By touching electric wires,Male,0-14,6,77884.20000000001,7.703744790342584e-05
Andhra Pradesh,2003,By Consuming Insecticides,Male,0-14,52,77884.20000000001,0.0006676578818296906
Andhra Pradesh,2003,By Consuming Other Poison,Male,0-14,13,77884.20000000001,0.00016691447045742266
Andhra Pradesh,2003,By Other means (please specify),Male,0-14,17,77884.20000000001,0.00021827276905970656
Andhra Pradesh,2003,By Drowning,Male,0-14,36,77884.20000000001,0.00046222468742055506
Andhra Pradesh,2003,By Machine,Male,0-14,1,77884.20000000001,1.2839574650570974e-05
Andhra Pradesh,2003,By coming under running vehicles/trains,Male,0-14,3,77884.20000000001,3.851872395171292e-05
Andhra Pradesh,2003,By Fire/Self Immolation,Male,0-14,10,77884.20000000001,0.00012839574650570974
Andhra Pradesh,2003,By Consuming Insecticides,Male,15-29,861,77884.20000000001,0.011054873774141608
Andhra Pradesh,2003,By Over Alcoholism,Male,15-29,9,77884.20000000001,0.00011555617185513877
Andhra Pradesh,2003,By Hanging,Male,15-29,483,77884.20000000001,0.006201514556225781
Andhra Pradesh,2003,By coming under running vehicles/trains,Male,15-29,200,77884.20000000001,0.002567914930114195
Andhra Pradesh,2003,By Jumping from (Other sites),Male,15-29,16,77884.20000000001,0.00020543319440913558
Andhra Pradesh,2003,By Self Infliction of injury,Male,15-29,6,77884.20000000001,7.703744790342584e-05
Andhra Pradesh,2003,By Fire-Arms,Male,15-29,2,77884.20000000001,2.5679149301141948e-05
Andhra Pradesh,2003,By Fire/Self Immolation,Male,15-29,123,77884.20000000001,0.0015792676820202299
Andhra Pradesh,2003,By Jumping from (Building),Male,15-29,9,77884.20000000001,0.00011555617185513877
Andhra Pradesh,2003,By Consuming Other Poison,Male,15-29,253,77884.20000000001,0.0032484123865944565
Andhra Pradesh,2003,By Jumping off Moving Vehicles/Trains,Male,15-29,14,77884.20000000001,0.00017975404510799363
Andhra Pradesh,2003,By Machine,Male,15-29,2,77884.20000000001,2.5679149301141948e-05
Andhra Pradesh,2003,By Drowning,Male,15-29,151,77884.20000000001,0.001938775772236217
Andhra Pradesh,2003,By Overdose of sleeping pills,Male,15-29,9,77884.20000000001,0.00011555617185513877
Andhra Pradesh,2003,By Other means (please specify),Male,15-29,108,77884.20000000001,0.0013866740622616653
Andhra Pradesh,2003,By touching electric wires,Male,15-29,24,77884.20000000001,0.0003081497916137034
Andhra Pradesh,2003,By Jumping from (Other sites),Male,30-44,22,77884.20000000001,0.0002824706423125614
Andhra Pradesh,2003,By touching electric wires,Male,30-44,16,77884.20000000001,0.00020543319440913558
Andhra Pradesh,2003,By Jumping from (Building),Male,30-44,11,77884.20000000001,0.0001412353211562807
Andhra Pradesh,2003,By Consuming Other Poison,Male,30-44,285,77884.20000000001,0.0036592787754127277
Andhra Pradesh,2003,By Over Alcoholism,Male,30-44,39,77884.20000000001,0.000500743411372268
Andhra Pradesh,2003,By Other means (please specify),Male,30-44,160,77884.20000000001,0.002054331944091356
Andhra Pradesh,2003,By Jumping off Moving Vehicles/Trains,Male,30-44,20,77884.20000000001,0.0002567914930114195
Andhra Pradesh,2003,By Fire-Arms,Male,30-44,3,77884.20000000001,3.851872395171292e-05
Andhra Pradesh,2003,By Drowning,Male,30-44,167,77884.20000000001,0.0021442089666453526
Andhra Pradesh,2003,By Overdose of sleeping pills,Male,30-44,9,77884.20000000001,0.00011555617185513877
Andhra Pradesh,2003,By Fire/Self Immolation,Male,30-44,152,77884.20000000001,0.001951615346886788
Andhra Pradesh,2003,By Consuming Insecticides,Male,30-44,1164,77884.20000000001,0.014945264893264613
Andhra Pradesh,2003,By Machine,Male,30-44,2,77884.20000000001,2.5679149301141948e-05
Andhra Pradesh,2003,By Self Infliction of injury,Male,30-44,7,77884.20000000001,8.987702255399682e-05
Andhra Pradesh,2003,By Hanging,Male,30-44,601,77884.20000000001,0.007716584364993156
Andhra Pradesh,2003,By coming under running vehicles/trains,Male,30-44,188,77884.20000000001,0.002413840034307343
Andhra Pradesh,2003,By touching electric wires,Male,45-59,14,77884.20000000001,0.00017975404510799363
Andhra Pradesh,2003,By Hanging,Male,45-59,440,77884.20000000001,0.005649412846251228
Andhra Pradesh,2003,By Over Alcoholism,Male,45-59,15,77884.20000000001,0.0001925936197585646
Andhra Pradesh,2003,By Fire/Self Immolation,Male,45-59,93,77884.20000000001,0.0011940804425031005
Andhra Pradesh,2003,By Overdose of sleeping pills,Male,45-59,20,77884.20000000001,0.0002567914930114195
Andhra Pradesh,2003,By coming under running vehicles/trains,Male,45-59,73,77884.20000000001,0.0009372889494916811
Andhra Pradesh,2003,By Drowning,Male,45-59,87,77884.20000000001,0.0011170429945996747
Andhra Pradesh,2003,By Consuming Insecticides,Male,45-59,634,77884.20000000001,0.008140290328461997
Andhra Pradesh,2003,By Fire-Arms,Male,45-59,2,77884.20000000001,2.5679149301141948e-05
Andhra Pradesh,2003,By Jumping from (Building),Male,45-59,5,77884.20000000001,6.419787325285487e-05
Andhra Pradesh,2003,By Jumping off Moving Vehicles/Trains,Male,45-59,4,77884.20000000001,5.1358298602283896e-05
Andhra Pradesh,2003,By Consuming Other Poison,Male,45-59,249,77884.20000000001,0.0031970540879921725
Andhra Pradesh,2003,By Other means (please specify),Male,45-59,95,77884.20000000001,0.0012197595918042425
Andhra Pradesh,2003,By Self Infliction of injury,Male,45-59,4,77884.20000000001,5.1358298602283896e-05
Andhra Pradesh,2003,By Jumping from (Other sites),Male,45-59,9,77884.20000000001,0.00011555617185513877
Andhra Pradesh,2003,By Machine,Male,45-59,1,77884.20000000001,1.2839574650570974e-05
Andhra Pradesh,2003,By touching electric wires,Male,60+,5,77884.20000000001,6.419787325285487e-05
Andhra Pradesh,2003,By Jumping from (Building),Male,60+,2,77884.20000000001,2.5679149301141948e-05
Andhra Pradesh,2003,By Fire/Self Immolation,Male,60+,15,77884.20000000001,0.0001925936197585646
Andhra Pradesh,2003,By Consuming Other Poison,Male,60+,58,77884.20000000001,0.0007446953297331165
Andhra Pradesh,2003,By Drowning,Male,60+,30,77884.20000000001,0.0003851872395171292
Andhra Pradesh,2003,By Overdose of sleeping pills,Male,60+,19,77884.20000000001,0.0002439519183608485
Andhra Pradesh,2003,By Jumping from (Other sites),Male,60+,5,77884.20000000001,6.419787325285487e-05
Andhra Pradesh,2003,By Other means (please specify),Male,60+,30,77884.20000000001,0.0003851872395171292
Andhra Pradesh,2003,By coming under running vehicles/trains,Male,60+,49,77884.20000000001,0.0006291391578779777
Andhra Pradesh,2003,By Consuming Insecticides,Male,60+,181,77884.20000000001,0.002323963011753346
Andhra Pradesh,2003,By Over Alcoholism,Male,60+,7,77884.20000000001,8.987702255399682e-05
Andhra Pradesh,2003,By Hanging,Male,60+,95,77884.20000000001,0.0012197595918042425
Andhra Pradesh,2003,By Self Infliction of injury,Male,60+,1,77884.20000000001,1.2839574650570974e-05
Andhra Pradesh,2004,By Drowning,Male,0-14,14,78721.30000000002,0.00017784259152224362
Andhra Pradesh,2004,By Fire/Self Immolation,Male,0-14,7,78721.30000000002,8.892129576112181e-05
Andhra Pradesh,2004,By Other means (please specify),Male,0-14,23,78721.30000000002,0.0002921699717865431
Andhra Pradesh,2004,By Hanging,Male,0-14,12,78721.30000000002,0.00015243650701906596
Andhra Pradesh,2004,By coming under running vehicles/trains,Male,0-14,1,78721.30000000002,1.270304225158883e-05
Andhra Pradesh,2004,By Jumping off Moving Vehicles/Trains,Male,0-14,1,78721.30000000002,1.270304225158883e-05
Andhra Pradesh,2004,By Consuming Insecticides,Male,0-14,30,78721.30000000002,0.0003810912675476649
Andhra Pradesh,2004,By Jumping from (Building),Male,0-14,1,78721.30000000002,1.270304225158883e-05
Andhra Pradesh,2004,By Consuming Other Poison,Male,0-14,6,78721.30000000002,7.621825350953298e-05
Andhra Pradesh,2004,By Jumping from (Building),Male,15-29,2,78721.30000000002,2.540608450317766e-05
Andhra Pradesh,2004,By Over Alcoholism,Male,15-29,9,78721.30000000002,0.00011432738026429948
Andhra Pradesh,2004,By Overdose of sleeping pills,Male,15-29,51,78721.30000000002,0.0006478551548310303
Andhra Pradesh,2004,By Drowning,Male,15-29,97,78721.30000000002,0.0012321950984041166
Andhra Pradesh,2004,By Fire/Self Immolation,Male,15-29,133,78721.30000000002,0.0016895046194613144
Andhra Pradesh,2004,By Jumping from (Other sites),Male,15-29,2,78721.30000000002,2.540608450317766e-05
Andhra Pradesh,2004,By Consuming Other Poison,Male,15-29,418,78721.30000000002,0.005309871661164131
Andhra Pradesh,2004,By Jumping off Moving Vehicles/Trains,Male,15-29,25,78721.30000000002,0.00031757605628972074
Andhra Pradesh,2004,By Other means (please specify),Male,15-29,146,78721.30000000002,0.0018546441687319693
Andhra Pradesh,2004,By Self Infliction of injury,Male,15-29,3,78721.30000000002,3.810912675476649e-05
Andhra Pradesh,2004,By Hanging,Male,15-29,623,78721.30000000002,0.007913995322739842
Andhra Pradesh,2004,By touching electric wires,Male,15-29,23,78721.30000000002,0.0002921699717865431
Andhra Pradesh,2004,By coming under running vehicles/trains,Male,15-29,84,78721.30000000002,0.0010670555491334617
Andhra Pradesh,2004,By Consuming Insecticides,Male,15-29,946,78721.30000000002,0.012017077970003034
Andhra Pradesh,2004,By Jumping from (Other sites),Male,30-44,2,78721.30000000002,2.540608450317766e-05
Andhra Pradesh,2004,By Over Alcoholism,Male,30-44,19,78721.30000000002,0.00024135780278018777
Andhra Pradesh,2004,By coming under running vehicles/trains,Male,30-44,154,78721.30000000002,0.00195626850674468
Andhra Pradesh,2004,By Jumping from (Building),Male,30-44,1,78721.30000000002,1.270304225158883e-05
Andhra Pradesh,2004,By Consuming Other Poison,Male,30-44,539,78721.30000000002,0.006846939773606379
Andhra Pradesh,2004,By Consuming Insecticides,Male,30-44,1267,78721.30000000002,0.01609475453276305
Andhra Pradesh,2004,By Drowning,Male,30-44,146,78721.30000000002,0.0018546441687319693
Andhra Pradesh,2004,By Jumping off Moving Vehicles/Trains,Male,30-44,45,78721.30000000002,0.0005716369013214974
Andhra Pradesh,2004,By touching electric wires,Male,30-44,33,78721.30000000002,0.0004192003943024314
Andhra Pradesh,2004,By Fire/Self Immolation,Male,30-44,125,78721.30000000002,0.0015878802814486039
Andhra Pradesh,2004,By Hanging,Male,30-44,828,78721.30000000002,0.01051811898431555
Andhra Pradesh,2004,By Machine,Male,30-44,2,78721.30000000002,2.540608450317766e-05
Andhra Pradesh,2004,By Fire-Arms,Male,30-44,4,78721.30000000002,5.081216900635532e-05
Andhra Pradesh,2004,By Other means (please specify),Male,30-44,239,78721.30000000002,0.00303602709812973
Andhra Pradesh,2004,By Self Infliction of injury,Male,30-44,2,78721.30000000002,2.540608450317766e-05
Andhra Pradesh,2004,By Overdose of sleeping pills,Male,30-44,42,78721.30000000002,0.0005335277745667309
Andhra Pradesh,2004,By coming under running vehicles/trains,Male,45-59,126,78721.30000000002,0.0016005833237001926
Andhra Pradesh,2004,By Jumping from (Building),Male,45-59,1,78721.30000000002,1.270304225158883e-05
Andhra Pradesh,2004,By Over Alcoholism,Male,45-59,20,78721.30000000002,0.0002540608450317766
Andhra Pradesh,2004,By Overdose of sleeping pills,Male,45-59,22,78721.30000000002,0.00027946692953495424
Andhra Pradesh,2004,By Fire/Self Immolation,Male,45-59,58,78721.30000000002,0.0007367764505921521
Andhra Pradesh,2004,By Other means (please specify),Male,45-59,173,78721.30000000002,0.002197626309524868
Andhra Pradesh,2004,By Jumping off Moving Vehicles/Trains,Male,45-59,37,78721.30000000002,0.0004700125633087867
Andhra Pradesh,2004,By Fire-Arms,Male,45-59,3,78721.30000000002,3.810912675476649e-05
Andhra Pradesh,2004,By Self Infliction of injury,Male,45-59,1,78721.30000000002,1.270304225158883e-05
Andhra Pradesh,2004,By Consuming Other Poison,Male,45-59,346,78721.30000000002,0.004395252619049736
Andhra Pradesh,2004,By touching electric wires,Male,45-59,11,78721.30000000002,0.00013973346476747712
Andhra Pradesh,2004,By Hanging,Male,45-59,489,78721.30000000002,0.006211787661026938
Andhra Pradesh,2004,By Consuming Insecticides,Male,45-59,822,78721.30000000002,0.010441900730806019
Andhra Pradesh,2004,By Drowning,Male,45-59,66,78721.30000000002,0.0008384007886048628
Andhra Pradesh,2004,By coming under running vehicles/trains,Male,60+,83,78721.30000000002,0.001054352506881873
Andhra Pradesh,2004,By Drowning,Male,60+,25,78721.30000000002,0.00031757605628972074
Andhra Pradesh,2004,By Overdose of sleeping pills,Male,60+,7,78721.30000000002,8.892129576112181e-05
Andhra Pradesh,2004,By Jumping from (Other sites),Male,60+,1,78721.30000000002,1.270304225158883e-05
Andhra Pradesh,2004,By Machine,Male,60+,1,78721.30000000002,1.270304225158883e-05
Andhra Pradesh,2004,By Consuming Insecticides,Male,60+,297,78721.30000000002,0.0037728035487218825
Andhra Pradesh,2004,By Fire/Self Immolation,Male,60+,19,78721.30000000002,0.00024135780278018777
Andhra Pradesh,2004,By Consuming Other Poison,Male,60+,132,78721.30000000002,0.0016768015772097257
Andhra Pradesh,2004,By Hanging,Male,60+,169,78721.30000000002,0.002146814140518512
Andhra Pradesh,2004,By Fire-Arms,Male,60+,1,78721.30000000002,1.270304225158883e-05
Andhra Pradesh,2004,By Other means (please specify),Male,60+,60,78721.30000000002,0.0007621825350953298
Andhra Pradesh,2004,By Over Alcoholism,Male,60+,7,78721.30000000002,8.892129576112181e-05
Andhra Pradesh,2005,By coming under running vehicles/trains,Male,0-14,11,79558.40000000002,0.00013826321293540337
Andhra Pradesh,2005,By Jumping from (Building),Male,0-14,1,79558.40000000002,1.256938299412758e-05
Andhra Pradesh,2005,By Jumping off Moving Vehicles/Trains,Male,0-14,2,79558.40000000002,2.513876598825516e-05
Andhra Pradesh,2005,By Drowning,Male,0-14,19,79558.40000000002,0.00023881827688842404
Andhra Pradesh,2005,By Consuming Insecticides,Male,0-14,39,79558.40000000002,0.0004902059367709756
Andhra Pradesh,2005,By Fire/Self Immolation,Male,0-14,10,79558.40000000002,0.0001256938299412758
Andhra Pradesh,2005,By Other means (please specify),Male,0-14,23,79558.40000000002,0.00028909580886493435
Andhra Pradesh,2005,By Consuming Other Poison,Male,0-14,19,79558.40000000002,0.00023881827688842404
Andhra Pradesh,2005,By Hanging,Male,0-14,19,79558.40000000002,0.00023881827688842404
Andhra Pradesh,2005,By Jumping from (Building),Male,15-29,8,79558.40000000002,0.00010055506395302064
Andhra Pradesh,2005,By Other means (please specify),Male,15-29,146,79558.40000000002,0.0018351299171426268
Andhra Pradesh,2005,By Overdose of sleeping pills,Male,15-29,3,79558.40000000002,3.7708148982382744e-05
Andhra Pradesh,2005,By coming under running vehicles/trains,Male,15-29,90,79558.40000000002,0.0011312444694714823
Andhra Pradesh,2005,By Fire-Arms,Male,15-29,6,79558.40000000002,7.541629796476549e-05
Andhra Pradesh,2005,By Machine,Male,15-29,1,79558.40000000002,1.256938299412758e-05
